"|","||","|||","|||__t2","|||__hr","|||__pp","|||__cl","|||__ws","|||__wd"
"","","11","15.01","43.41","0.0","0.0","0.7","15.33"
"","","12","16.38","40.38","0.0","0.0","0.68","53.3"
"","","13","17.47","39.18","0.0","0.0","0.73","78.85"
"","","14","18.52","37.67","0.0","0.0","0.74","117.08"
"","","15","19.26","36.49","0.0","0.0","0.92","138.51"
"","","16","19.5","36.6","0.0","0.0","0.79","143.11"
"","","17","19.29","37.61","0.0","0.0","0.3","105.32"
"","","18","18.64","40.47","0.0","0.0","0.84","14.74"
"","","19","17.16","48.26","0.0","0.0","2.31","357.51"
"","","20","14.59","66.24","0.0","0.0","3.56","337.98"
"","","21","12.59","72.98","0.0","0.0","4.1","324.91"
"","","22","11.26","77.8","0.0","0.51","3.87","324.98"
"","","23","10.43","81.34","0.0","1.12","3.3","321.78"
